date,open,high,low,close,pct_change,volume
2024-09-03,2809.17,2814.9,2794.91,2802.98,-0.29%,275736160.0
2024-09-04,2786.5,2800.61,2781.94,2784.28,-0.67%,257453504.0
2024-09-05,2785.26,2796.02,2777.47,2788.31,0.14%,242040960.0
2024-09-06,2791.76,2804.09,2765.64,2765.81,-0.81%,253645376.0
2024-09-09,2754.72,2756.56,2726.97,2736.49,-1.06%,261468864.0
2024-09-10,2737.88,2750.12,2718.63,2744.19,0.28%,262159008.0
2024-09-11,2732.73,2732.73,2710.62,2721.8,-0.82%,242264896.0
2024-09-12,2722.14,2734.68,2716.56,2717.12,-0.17%,240084320.0
2024-09-13,2718.99,2728.78,2703.37,2704.09,-0.48%,251270048.0
2024-09-18,2705.35,2724.11,2689.7,2717.28,0.49%,247817136.0
2024-09-19,2723.21,2747.74,2697.78,2736.02,0.69%,315208384.0
2024-09-20,2734.23,2741.16,2717.95,2736.81,0.03%,285644640.0
2024-09-23,2735.39,2760.48,2731.36,2748.92,0.44%,257642144.0
2024-09-24,2770.75,2863.15,2761.37,2863.13,4.15%,477619520.0
2024-09-25,2901.42,2952.45,2889.05,2896.31,1.16%,568259840.0
2024-09-26,2893.75,3000.95,2889.01,3000.95,3.61%,576319232.0
2024-09-27,3049.1,3087.53,3017.45,3087.53,2.88%,492287168.0
2024-09-30,3194.72,3358.59,3153.7,3336.5,8.06%,1102337920.0
2024-10-08,3674.4,3674.4,3372.19,3489.78,4.59%,1313460224.0
2024-10-09,3427.22,3437.16,3249.16,3258.86,-6.62%,992757248.0
2024-10-10,3277.69,3379.81,3228.12,3301.93,1.32%,834500288.0
2024-10-11,3287.87,3297.75,3187.99,3217.74,-2.55%,606027456.0
2024-10-14,3241.43,3294.62,3203.9,3284.32,2.07%,631466816.0
2024-10-15,3265.75,3285.21,3201.29,3201.29,-2.53%,566054528.0
2024-10-16,3169.17,3236.85,3167.74,3202.95,0.05%,515813984.0
2024-10-17,3220.73,3241.57,3169.38,3169.38,-1.05%,528611776.0
2024-10-18,3165.97,3313.98,3152.82,3261.56,2.91%,693014592.0
2024-10-21,3276.06,3300.66,3239.1,3268.11,0.20%,668150272.0
2024-10-22,3263.82,3294.96,3255.14,3285.87,0.54%,574913792.0
2024-10-23,3285.25,3331.08,3277.07,3302.8,0.52%,650444160.0
2024-10-24,3287.82,3292.94,3266.88,3280.26,-0.68%,519827072.0
2024-10-25,3280.76,3319.36,3276.13,3299.7,0.59%,595651712.0
2024-10-28,3300.46,3322.2,3279.72,3322.2,0.68%,672373120.0
2024-10-29,3328.09,3340.46,3284.21,3286.41,-1.08%,725326144.0
2024-10-30,3273.64,3291.68,3244.81,3266.24,-0.61%,669018048.0
2024-10-31,3267.98,3295.74,3252.39,3279.82,0.42%,784649088.0
2024-11-01,3275.58,3305.32,3258.73,3272.01,-0.24%,852055296.0
